title,body
What is Lyme disease in dogs and what are the symptoms?,"Lyme disease is caused by the bacterium Borrelia burgdorferi transmitted through the bite of infected black-legged ticks (deer ticks). It is most common in the Northeast, Upper Midwest, and Pacific Coast of the United States. Most infected dogs never show clinical signs. When symptoms do occur they typically appear 2–5 months after the tick bite and include: lameness that shifts from leg to leg, joint swelling, fever, loss of appetite, and lethargy. In a small percentage of dogs it causes serious kidney disease (Lyme nephritis) that can be fatal. Diagnosis is via blood test. Treatment is antibiotics, typically doxycycline for 28–30 days. A Lyme vaccine is available for dogs in endemic areas. Year-round tick prevention is the most effective protection."
Is it normal for my dog to eat grass?,"Grass eating is extremely common in dogs and is generally not a concern. Studies show that the majority of grass-eating episodes are not preceded by illness and do not cause vomiting. Dogs may eat grass out of boredom, as a behavioral trait inherited from wild ancestors, because they enjoy the taste and texture, or to supplement dietary fiber. However, if a dog suddenly starts eating large amounts of grass and vomiting repeatedly, this can indicate gastrointestinal upset and warrants a vet visit. Occasional grass eating with occasional vomiting is normal. Ensure the grass your dog eats has not been treated with pesticides, herbicides, or fertilizers as these can be toxic. If grass eating is excessive and compulsive, it may indicate a nutritional deficiency or behavioral issue worth discussing with your vet."
Why does my cat knock things off tables?,"Cats knock things off surfaces for several well-documented reasons rooted in their natural behavior. Predatory instinct: batting at objects mimics hunting behavior — the movement engages their prey drive. Attention-seeking: if knocking things off results in a reaction from their owner, cats quickly learn it is an effective way to get attention. Curiosity and environmental testing: cats use their paws to explore the physical properties of objects. Boredom or understimulation: cats with insufficient play and enrichment find their own entertainment. The behavior is normal and not a sign of behavioral problems. Reducing it requires: providing adequate play and enrichment, ignoring the behavior to avoid reinforcing it with attention, and securing valuable objects. Puzzle feeders, window perches, and interactive toys reduce boredom-driven behaviors."
Why does my cat bring me dead animals?,"Cats that hunt and bring prey to their owners are displaying a natural nurturing behavior. In the wild, mother cats bring prey to their kittens to teach them to hunt. Domestic cats that bring prey to their owners are exhibiting this same instinct — they are treating their owner as a family member they want to provide for or teach. This behavior is more common in female cats and cats with strong prey drives. It is a compliment, not a behavioral problem. To reduce hunting: keep cats indoors or in a catio, attach a bell to the collar to warn prey, and ensure ample play with feather wands and interactive toys to redirect predatory energy. Punishing a cat for bringing prey is ineffective and confusing to the cat."
What is feline lower urinary tract disease (FLUTD)?,"Feline Lower Urinary Tract Disease (FLUTD) is an umbrella term for several conditions affecting the bladder and urethra in cats. It is very common, especially in middle-aged, overweight, indoor cats fed primarily dry food. Symptoms include: straining to urinate, frequent trips to the litter box with little or no output, blood in urine, urinating outside the litter box, and excessive licking of the genitals. In male cats, FLUTD can cause a complete urinary blockage which is life-threatening within 24–48 hours. Causes include: idiopathic cystitis (stress-related, most common), urinary stones, infection, and anatomical abnormalities. Treatment depends on the cause. Prevention includes: wet food diet to increase water intake, stress reduction, multiple litter boxes, and environmental enrichment."
Should I keep my cat indoors or let them go outside?,"Indoor cats live significantly longer than outdoor cats — on average 12–18 years versus 2–5 years for outdoor cats. Outdoor cats face risks including: vehicle accidents, predation by coyotes and dogs, infectious diseases (FIV, FeLV, rabies), parasites, toxin exposure, and injury from other cats. However, indoor-only cats can suffer from boredom and obesity without adequate enrichment. The best of both worlds is a catio (enclosed outdoor space), leash training, or supervised outdoor time. For indoor-only cats, enrichment is essential: window perches, bird feeders outside windows, puzzle feeders, cat trees, interactive toys, and play sessions of at least 20–30 minutes daily. Indoor cats also require regular veterinary care — they still need vaccines, parasite prevention, and annual health checks."
What is hyperthyroidism in cats and what are the signs?,"Hyperthyroidism is the most common hormonal disease in cats, typically affecting cats over 10 years old. It is caused by a benign overgrowth of thyroid tissue producing excess thyroid hormone, which speeds up metabolism. Signs include: weight loss despite increased or ravenous appetite, increased thirst and urination, hyperactivity or restlessness, a poor or greasy coat, vomiting, diarrhea, rapid heart rate, and an enlarged thyroid gland that may be felt in the neck. It is diagnosed with a blood test measuring T4 levels. Left untreated it causes heart disease, high blood pressure, and kidney damage. Treatment options include: daily oral medication (methimazole), radioactive iodine therapy (curative in most cases), surgical removal of the thyroid, or a prescription low-iodine diet. Most cats respond well to treatment."
What is kidney disease in cats and how common is it?,"Chronic kidney disease (CKD) is the leading cause of death in cats, affecting an estimated 30–40% of cats over 10 years old. The kidneys lose function gradually over months to years. Because cats have significant kidney reserve, signs often don't appear until 75% of function is lost. Early signs include: increased thirst and urination, weight loss, reduced appetite, and occasional vomiting. Later signs include: severe weight loss, lethargy, poor coat, bad breath with an ammonia-like smell, mouth ulcers, and dehydration. Diagnosis is through blood and urine tests. There is no cure but progression can be slowed with: prescription kidney diet (low protein, low phosphorus), phosphate binders, fluids (subcutaneous fluids at home in advanced cases), anti-nausea medication, and blood pressure control. Annual bloodwork from age 7 is the best early detection tool."
Why does my cat knead with their paws?,"Kneading — pushing paws alternately against a soft surface — is a comfort behavior that originates in kittenhood. Kittens knead their mother's mammary glands to stimulate milk flow. Adult cats retain this behavior and perform it when they feel safe, content, or relaxed. It is a sign of happiness and trust. Cats often knead on their favorite humans, soft blankets, or cat beds. Some cats knead before sleeping — similar to how dogs circle before lying down, it may originate from an instinct to pat down sleeping areas. If a cat's kneading becomes excessive or compulsive it may indicate anxiety, in which case environmental enrichment and stress reduction are helpful. Trimming nails regularly prevents kneading from being uncomfortable for human recipients."
What is feline leukemia virus (FeLV) and how is it spread?,"Feline Leukemia Virus (FeLV) is a retrovirus that compromises the immune system of cats, making them susceptible to secondary infections and certain cancers. It is the second most common cause of death in cats after trauma. FeLV is spread through prolonged close contact — mutual grooming, shared food and water bowls, and biting. It is not easily spread by casual contact. Cats that go outdoors, live with FeLV-positive cats, or were exposed as kittens are at highest risk. Signs of FeLV infection include: weight loss, poor coat, pale gums, persistent infections, enlarged lymph nodes, and lethargy. There is no cure — management focuses on supportive care and treating secondary infections. The FeLV vaccine is highly effective and recommended for all at-risk cats. All new cats should be tested before being introduced to other cats."
What is the best litter for cats?,"Cat litter preference varies between individual cats, which can make changing litters challenging. Most cats prefer fine-grained, unscented, clumping clay litter — it most closely mimics the texture of sand that cats naturally prefer for elimination. Avoid heavily scented litters — cats have a sense of smell 14 times more sensitive than humans, and artificial fragrances can deter litter box use. The litter box itself should be 1.5 times the length of the cat, uncovered (covered boxes trap odors), and scooped at least once daily. The general rule is one litter box per cat plus one extra. Place boxes in quiet, accessible locations — not near food or in high-traffic areas. If a cat is avoiding the litter box, the first step before assuming a behavioral problem is a vet check to rule out urinary or gastrointestinal issues."
My dog has a swollen face or muzzle — what does it mean?,"Facial swelling in dogs most commonly indicates one of three things: allergic reaction, dental abscess, or insect sting. EMERGENCY — seek immediate care if: swelling developed rapidly (within minutes to an hour), the dog is having difficulty breathing, has hives over the body, is vomiting, or is collapsing — these signs indicate anaphylaxis, a life-threatening allergic reaction. Also seek emergency care if swelling is around the eye. URGENT — see vet within a few hours if: swelling is confined to one cheek or below the eye (suggests tooth root abscess), or there is discharge from a swelling. ROUTINE — monitor if: mild swelling after being outside that is not progressing and the dog is otherwise normal. Insect stings typically cause localized swelling that resolves within a few hours. Dental abscesses require antibiotics and often dental extraction."
My dog is shaking or trembling — what are the causes?,"Trembling in dogs has many causes ranging from completely benign to life-threatening. EMERGENCY — seek immediate care if: trembling is accompanied by seizure-like activity (paddling, jaw chomping, loss of consciousness), the dog ate something potentially toxic in the past 4 hours, trembling began suddenly and the dog cannot stand, or the dog is also vomiting and has a distended abdomen. URGENT — see vet within 24 hours if: trembling persists for more than an hour without obvious cause, or is accompanied by other symptoms such as diarrhea, lethargy, or loss of appetite. BENIGN causes include: cold (small dogs and puppies shiver easily), excitement or anxiety, pain (may tremble without vocalizing), old dog vestibular disease. Common medical causes: hypoglycemia (low blood sugar, especially in toy breeds and puppies), toxin ingestion, kidney disease, Addison's disease, and neurological conditions."
My cat is breathing heavily or open-mouth breathing — is this an emergency?,"Yes — open-mouth breathing in a cat is always an emergency. Unlike dogs, cats do not pant normally. Open-mouth breathing in cats indicates severe respiratory distress and requires immediate emergency veterinary care. Do not wait. While transporting the cat, keep the environment calm, minimize handling, and ensure good air flow. Common causes of respiratory distress in cats: congestive heart failure (fluid around the lungs), pleural effusion (fluid in chest cavity), asthma, pneumonia, heartworm disease, and trauma to the chest. Rapid shallow breathing, neck extended forward and elbows pointed outward, blue or grey gums, and obvious labored breathing are all signs of severe oxygen deprivation. Even if the cat seems to stabilize, respiratory distress is unstable and can deteriorate rapidly. Always go to an emergency vet."
"My dog has red, itchy ears — what could it be?","Ear problems are among the most common reasons dogs visit the vet. Signs of ear infection: head shaking, scratching at ears, dark discharge, odor from ears, redness or swelling of the ear canal, tilting head to one side, and pain when ears are touched. EMERGENCY — seek immediate care if: dog is in severe pain, has a head tilt combined with falling or circling (suggests inner ear involvement or neurological issue), or ear is bleeding heavily. URGENT — see vet within 48 hours for any suspected ear infection — they worsen quickly and become more painful and expensive to treat if delayed. Common causes: yeast overgrowth (most common — brown discharge, musty smell), bacterial infection (yellow-green discharge, foul smell), ear mites (dark crumbly debris, common in cats and young dogs), foreign body (grass seed), or allergies. Never insert Q-tips into a dog's ear canal."
My dog is scooting on the floor — what does this mean?,"Scooting — dragging the rear end along the floor — almost always indicates discomfort in the anal area. The most common cause is full or impacted anal glands. Anal glands are small scent glands located at 4 and 8 o'clock positions around the anus. In most dogs they express naturally when defecating, but some dogs require manual expression by a vet or groomer every 4–8 weeks. Other causes include: intestinal parasites (especially tapeworms — look for rice-like segments around the rear or in feces), skin irritation or rash around the anal area, rectal prolapse, or perineal fistulas in German Shepherds. URGENT — see vet within 48 hours if: scooting is combined with swelling, redness, or a draining tract near the anus (suggests anal gland abscess which is painful and requires lancing and antibiotics). Routine scooting should be evaluated at the next available appointment."
My dog has a lump or bump — should I be worried?,"Not all lumps are cancerous, but all new lumps should be evaluated by a vet. EMERGENCY — seek immediate care if: a lump grew to a noticeable size in days, is bleeding significantly, or is accompanied by rapid weight loss, lethargy, or difficulty breathing. URGENT — see vet within a week if: the lump is growing, is ulcerated (has an open sore), is very firm and fixed to underlying tissue, or is in a concerning location such as the mammary chain, near lymph nodes, or on the face. ROUTINE — at next available appointment for: soft, moveable lumps that have been stable in size, especially in older dogs (likely lipomas — benign fatty tumors). The only way to definitively characterize a lump is cytology (needle aspirate) or biopsy. Common benign lumps: lipomas, sebaceous cysts, warts (papillomas), histiocytomas in young dogs. Common malignant tumors: mast cell tumors, melanoma, soft tissue sarcomas."
My dog or cat has blood in their urine — what does it mean?,"Blood in urine (hematuria) is always worth a vet visit, though the urgency depends on accompanying symptoms. EMERGENCY — seek immediate care if: male cat is straining to urinate with no urine output (urinary blockage), dog or cat is in obvious pain, collapsed, or not responding normally. URGENT — see vet within 24 hours for any visible blood in urine combined with straining, frequent urination, or crying when urinating. ROUTINE — schedule appointment within a few days if: blood is found incidentally or appears just once with no other symptoms. Common causes in dogs: urinary tract infection (most common in females), bladder stones, bladder polyps or tumors, trauma, clotting disorders, and prostate problems in intact males. Common causes in cats: idiopathic cystitis (stress-related), urinary stones, infection (less common than in dogs), and bladder tumors. Bring a fresh urine sample to the appointment if possible."
My dog is limping after exercise — could it be arthritis?,"Limping or stiffness that appears after exercise and improves with rest is a classic presentation of osteoarthritis in dogs. It is very common in middle-aged and older dogs, especially large breeds, overweight dogs, and dogs with a history of joint injuries. Other signs of arthritis: difficulty rising from rest, reluctance to climb stairs or jump into the car, decreased activity level, licking or chewing at joints, behavioral changes (grumpiness or withdrawal), and muscle wasting over the hindquarters. Arthritis is a progressive condition with no cure, but quality of life can be significantly improved with: weight management (most impactful single intervention), controlled low-impact exercise (swimming, leash walks), joint supplements (omega-3 fatty acids, glucosamine/chondroitin), pain medication (NSAIDs prescribed by vet), physical therapy, and acupuncture. Schedule a vet appointment for formal assessment and a pain management plan."
My cat has a wound or abscess — what should I do?,"Cat bite abscesses are very common in cats that go outdoors and fight with other cats. Cat bites introduce bacteria deep under the skin, which quickly form a pus-filled pocket. Signs: painful swelling under the skin, especially on the face, neck, legs, or base of the tail, fever, lethargy, reduced appetite, and sometimes a small puncture hole with discharge. EMERGENCY — seek immediate care if: the wound is actively bleeding heavily, the cat is in obvious severe pain, has a fever over 104°F, or cannot walk normally. URGENT — see vet within 24 hours for any suspected abscess — they do not resolve on their own and require lancing, flushing, antibiotics, and sometimes a drain. Cats injured in fights are also at risk of FIV (feline AIDS) and FeLV transmission — blood testing is recommended after any fight wound. Never attempt to lance an abscess at home."
My dog is panting excessively — when is it a concern?,"Panting is normal in dogs after exercise or in heat. It becomes a concern when: EMERGENCY — panting is combined with a distended abdomen and retching (bloat), the dog was in a hot environment and is disoriented, has bright red or pale gums, and cannot stand (heatstroke), or the dog is panting in a cool environment while at rest. URGENT — see vet within 24 hours if: panting is constant and unexplained, particularly at night or at rest, or is combined with coughing, exercise intolerance, or weight changes. Common medical causes of excessive panting: pain (dogs pant instead of crying), Cushing's disease (excess cortisol — also causes pot belly and hair loss), heart disease, respiratory disease, anemia, anxiety, and medication side effects (particularly steroids). If your dog's panting pattern has changed, it is worth a vet evaluation even without other obvious symptoms."
What is doxycycline used for in dogs and cats?,"Doxycycline is a broad-spectrum antibiotic in the tetracycline class used in both dogs and cats to treat a wide range of bacterial and rickettsial infections. In veterinary medicine it is the antibiotic of choice for: Lyme disease, ehrlichiosis, anaplasmosis, and Rocky Mountain Spotted Fever (tick-borne diseases), as well as Mycoplasma infections, respiratory infections including kennel cough, and certain types of pneumonia. It is also used to treat Toxoplasma in cats and some atypical infections. It must always be given with food or a full syringe of water as it can cause severe esophageal irritation or ulcers if it sits in the esophagus — especially dangerous in cats. The typical course is 28–30 days for tick-borne diseases. Requires a prescription. Avoid in pregnant animals and young puppies/kittens under 6 months as it can affect developing teeth."
What is amoxicillin-clavulanate (Clavamox) used for?,"Clavamox (amoxicillin-clavulanate) is a broad-spectrum antibiotic combination used in both dogs and cats to treat bacterial infections where bacteria may be resistant to amoxicillin alone. The clavulanate component inhibits beta-lactamase enzymes that some bacteria use to break down amoxicillin. Common uses include: skin and soft tissue infections, wound infections, urinary tract infections, dental infections, respiratory tract infections, and ear infections. It is available as tablets and oral liquid. It should be given with food to reduce stomach upset. Side effects may include vomiting, diarrhea, and loss of appetite. Do not use in pets with penicillin allergies. Complete the full course even if symptoms improve early — stopping antibiotics prematurely contributes to antibiotic resistance. Requires a prescription."
What is furosemide (Lasix) used for in pets?,"Furosemide (Lasix) is a loop diuretic used in dogs and cats to remove excess fluid from the body. It works by preventing the kidneys from reabsorbing salt and water, increasing urine output. In veterinary medicine it is most commonly used to treat: congestive heart failure (removes fluid that accumulates around the lungs), pulmonary edema (fluid in the lungs), and other conditions causing fluid retention. It is a critical medication for dogs and cats with heart disease. Side effects include increased thirst and urination, electrolyte imbalances (particularly low potassium), dehydration, and kidney stress. Pets on furosemide require regular monitoring of kidney values and electrolytes. Do not restrict water access in pets on furosemide. Requires a prescription and ongoing veterinary monitoring."
What is phenobarbital used for in dogs?,"Phenobarbital is the most commonly used anti-epileptic medication in dogs and one of the first-line treatments for canine epilepsy. It works by enhancing the activity of GABA, a calming neurotransmitter, reducing the frequency and severity of seizures. It is taken orally once or twice daily and must be given consistently — missed doses can trigger seizures. It takes 2 weeks to reach stable blood levels. Regular blood monitoring is essential — typically every 6 months — to check blood levels and liver function, as phenobarbital is metabolized by the liver and can cause liver enzyme elevation over time. Side effects are common initially and include: sedation, increased thirst and urination, increased appetite and weight gain. Most side effects diminish as the dog adjusts. Phenobarbital is a controlled substance. Never stop abruptly — withdrawal can trigger severe seizures."
What is cerenia (maropitant) used for in dogs and cats?,"Cerenia (maropitant citrate) is an antiemetic medication used in dogs and cats to prevent and treat nausea and vomiting. It works by blocking substance P from binding to NK1 receptors in the brain, which is the primary pathway triggering vomiting. In dogs it is used for: motion sickness prevention (given 2 hours before travel), vomiting due to chemotherapy, post-operative nausea, parvovirus treatment protocols, and general vomiting from various causes. In cats it is used for similar indications. It is available as injectable and tablet form. Side effects are minimal — mild sedation and pain at injection site. It does not treat the underlying cause of vomiting but significantly improves comfort and reduces dehydration risk. Requires a prescription. For motion sickness, it should be given on an empty stomach 2 hours before travel for best effect."
What is enalapril used for in dogs with heart disease?,"Enalapril is an ACE inhibitor (angiotensin-converting enzyme inhibitor) used in dogs to manage heart failure, particularly mitral valve disease (the most common heart disease in dogs) and dilated cardiomyopathy. It works by blocking the production of angiotensin II, a hormone that causes blood vessel constriction and fluid retention — reducing the heart's workload. It is often used alongside furosemide (diuretic) and pimobendan in the management of congestive heart failure. Benefits include: reduced blood pressure, decreased fluid retention, and slowing progression of heart enlargement. Side effects include: low blood pressure, increased kidney values, and cough (less common in dogs than humans). Regular blood pressure monitoring and kidney function testing are required. Requires a prescription and is taken daily long-term."
What is pimobendan (Vetmedin) and what does it do?,"Pimobendan (Vetmedin) is a cardiac medication used in dogs with congestive heart failure due to mitral valve disease or dilated cardiomyopathy. It works through two mechanisms: it is both an inodilator (strengthens heart contractions) and a vasodilator (relaxes blood vessels). This combination improves cardiac output and reduces the heart's workload simultaneously. Vetmedin is given twice daily on an empty stomach — 1 hour before food for best absorption. It has been shown in clinical trials to extend survival time significantly in dogs with heart failure. It is also approved for use in the preclinical stage of mitral valve disease to delay onset of heart failure. Side effects are uncommon but may include decreased appetite, lethargy, and rarely arrhythmias. Requires a prescription and regular cardiac monitoring via echocardiogram and chest X-ray."
What is trazodone used for in dogs and cats?,"Trazodone is a serotonin antagonist and reuptake inhibitor (SARI) used in dogs and increasingly in cats as a situational anxiolytic — a medication to reduce anxiety in specific stressful situations. Common uses include: pre-veterinary visit sedation, thunderstorm and fireworks anxiety, post-surgical confinement and recovery, and travel anxiety. It is given 1–2 hours before the anticipated stressful event. Unlike some sedatives, it reduces anxiety and promotes calm without causing significant sedation at typical doses. It can be combined with other anxiolytic medications. Side effects include mild sedation, incoordination, vomiting, and colitis. It should not be combined with MAOIs or other serotonergic medications without vet guidance due to risk of serotonin syndrome. Requires a prescription. It is an excellent option for the ""just needs a vet visit"" anxious patient."
"What is the difference between Bravecto, NexGard, and Simparica?","Bravecto (fluralaner), NexGard (afoxolaner), and Simparica (sarolaner) are all oral isoxazoline class flea and tick preventives for dogs. They work by blocking chloride ion channels in the nervous system of insects and arachnids, causing paralysis and death. Key differences: Bravecto lasts 12 weeks per dose (chewable or topical spot-on), while NexGard and Simparica are monthly. Simparica Trio also includes heartworm prevention, roundworm, and hookworm coverage in one product. All three are highly effective against fleas and multiple tick species. The isoxazoline class carries an FDA warning about potential neurological adverse events (muscle tremors, ataxia, seizures) in rare cases, particularly in dogs with pre-existing neurological conditions. All require a prescription. In healthy dogs they are generally very well tolerated and are among the most effective parasite preventives available."
What is omeprazole (Prilosec) used for in dogs?,"Omeprazole is a proton pump inhibitor (PPI) that reduces stomach acid production. In dogs it is used to treat and prevent: gastric and duodenal ulcers (particularly in dogs on long-term NSAIDs which can damage the stomach lining), acid reflux (gastroesophageal reflux), esophagitis (inflammation of the esophagus), Helicobacter pylori infection, and stomach protection during illness or stress. It is given once daily, ideally in the morning before the first meal. It takes 3–5 days to reach full effect. Human omeprazole (Prilosec OTC) is commonly used in dogs as it is identical to the veterinary formulation — however always confirm the dose with your vet before administering any human medication. Side effects are uncommon. Long-term use may affect vitamin B12 absorption and alter gut microbiome. Requires veterinary guidance for dosing."
¿Qué vacunas necesita mi cachorro?,"Las vacunas esenciales para cachorros incluyen: DA2PP o DHPP (Moquillo, Parvovirus, Adenovirus, Parainfluenza) que comienza a las 6–8 semanas y se repite cada 3–4 semanas hasta las 16 semanas. La vacuna contra la rabia se aplica a las 12–16 semanas. Las vacunas no esenciales como Bordetella (tos de las perreras), Leptospirosis e Influenza Canina se recomiendan según el estilo de vida y el riesgo. Su veterinario creará un calendario adaptado a su cachorro. Es fundamental completar toda la serie de vacunas — un cachorro no está completamente protegido hasta 1–2 semanas después de la última dosis."
¿Con qué frecuencia debo desparasitar a mi perro?,"Los cachorros deben desparasitarse a las 2, 4, 6 y 8 semanas de edad, y luego mensualmente hasta los 6 meses. Los perros adultos deben desparasitarse al menos 2–4 veces al año según su estilo de vida. Los perros que cazan, comen animales silvestres o pasan tiempo al aire libre necesitan tratamientos más frecuentes. La prevención mensual contra el gusano del corazón también cubre algunos parásitos intestinales. Solicite a su veterinario un examen fecal anual para detectar parásitos que no estén cubiertos por los desparasitantes estándar."
¿Por qué mi gato tira las cosas al suelo?,"Los gatos tiran objetos de las superficies por varias razones documentadas. Instinto de caza: golpear objetos imita el comportamiento de caza. Búsqueda de atención: si tirar cosas genera una reacción, el gato aprende que es una forma efectiva de llamar la atención. Curiosidad y exploración: los gatos usan sus patas para explorar las propiedades físicas de los objetos. Aburrimiento o falta de estimulación. El comportamiento es normal y no indica problemas de conducta. Para reducirlo: proporcione suficiente juego y enriquecimiento, ignore el comportamiento para no reforzarlo con atención, y asegure los objetos valiosos."
¿Qué es el parvovirus canino y qué tan peligroso es?,"El parvovirus canino (CPV) es una enfermedad viral altamente contagiosa y potencialmente mortal que afecta principalmente a los cachorros y perros no vacunados. Ataca el revestimiento del intestino delgado causando diarrea con sangre grave, vómitos, letargo y pérdida del apetito. El virus se transmite a través del contacto directo con heces infectadas y superficies contaminadas — puede sobrevivir en superficies durante meses o años. El tratamiento es de apoyo (fluidos IV, medicación antiemética, antibióticos) y las tasas de supervivencia con tratamiento agresivo son del 68–92%. Sin tratamiento la supervivencia cae a menos del 10%. La prevención es mediante vacunación — la vacuna contra el parvovirus es una vacuna esencial para todos los perros."
Mi gato tiene dificultad para respirar — ¿es una emergencia?,"Sí — la respiración con la boca abierta en un gato siempre es una emergencia. A diferencia de los perros, los gatos no jadean normalmente. La respiración con la boca abierta en gatos indica dificultad respiratoria grave y requiere atención veterinaria de emergencia inmediata. No espere. Al transportar al gato, mantenga el ambiente tranquilo, minimice la manipulación y asegure una buena circulación de aire. Causas comunes: insuficiencia cardíaca congestiva, derrame pleural (líquido en la cavidad torácica), asma felina, neumonía y trauma torácico. La respiración rápida y superficial, el cuello extendido hacia adelante y los codos hacia afuera, las encías azules o grises son señales de privación grave de oxígeno. Vaya siempre al veterinario de emergencias."
Mi perro tiene las orejas rojas y con picor — ¿qué podría ser?,"Los problemas de oído están entre las razones más comunes por las que los perros visitan al veterinario. Signos de infección de oído: sacudidas de cabeza, rascado en las orejas, secreción oscura, olor en las orejas, enrojecimiento o hinchazón del canal auditivo, inclinación de la cabeza y dolor al tocar las orejas. URGENTE — consulte al veterinario en 48 horas ante cualquier infección de oído sospechada — empeoran rápidamente. Causas comunes: sobrecrecimiento de levaduras (más común — secreción marrón, olor a moho), infección bacteriana (secreción amarillo-verdosa, olor fétido), ácaros del oído (residuos oscuros y quebradizos), cuerpo extraño o alergias. Nunca inserte hisopos en el canal auditivo de un perro."
¿Para qué se usa la metronidazola en perros y gatos?,"La metronidazol (Flagyl) es un antibiótico y antiprotozoario utilizado tanto en perros como en gatos para tratar diversas afecciones gastrointestinales. Se prescribe comúnmente para diarrea causada por sobrecrecimiento bacteriano, infección por Giardia, infección por Clostridium y enfermedad inflamatoria intestinal. Requiere receta. Los efectos secundarios comunes incluyen babeo, náuseas y vómitos — dar con comida generalmente ayuda. Los efectos secundarios neurológicos (tambaleo, desorientación) son raros pero graves y requieren suspender el medicamento de inmediato. No debe usarse en animales embarazadas. El curso típico es de 5–10 días."
¿Para qué se usa el carprofen (Rimadyl) en perros?,"El carprofen (Rimadyl) es un antiinflamatorio no esteroideo (AINE) utilizado en perros para aliviar el dolor y la inflamación. Se prescribe comúnmente para la osteoartritis, el dolor posquirúrgico y el dolor de tejidos blandos. Siempre debe administrarse con comida para reducir el malestar estomacal. Requiere receta y monitoreo regular — el uso a largo plazo requiere análisis de sangre periódicos para verificar la función hepática y renal. Nunca debe combinarse con otros AINEs o esteroides. Nunca le dé a su perro AINEs humanos (ibuprofeno, aspirina, naproxeno) — son tóxicos para los perros. Señales de reacción adversa: vómitos, diarrea, heces negras alquitranadas — suspenda el medicamento y contacte a su veterinario de inmediato."
Señales de emergencia que siempre requieren atención veterinaria inmediata,"Los siguientes síntomas en cualquier mascota requieren atención veterinaria de emergencia inmediata: convulsiones o ataques, colapso o incapacidad repentina para ponerse de pie, dificultad grave para respirar o respiración con la boca abierta en gatos, ingestión sospechosa de veneno o toxina, sangrado incontrolable, abdomen distendido especialmente con arcadas improductivas en perros, lesión en el ojo o pérdida repentina de visión, incapacidad para orinar especialmente en gatos machos, encías pálidas, blancas, azules o grises, trauma por vehículo, caída de altura o ataque de otro animal. Ante la duda, llame siempre — una llamada de 2 minutos al veterinario de emergencias puede salvar la vida de su mascota."
How often do rabbits need veterinary care?,"Rabbits require at least an annual wellness exam. They are prey animals and hide illness expertly — by the time signs are obvious, a rabbit may be critically ill. Key health concerns in rabbits: dental disease (teeth grow continuously and can cause painful malocclusion), GI stasis (the most common life-threatening emergency — digestive system slows or stops), ear mites, respiratory infections, and uterine cancer in unspayed females (affects up to 80% of intact females over 5 years). Rabbits should be spayed (females) or neutered (males) for health and behavioral reasons. Vaccines are not required in the US but are recommended in some countries for rabbit hemorrhagic disease. A rabbit that stops eating for more than 12 hours requires same-day veterinary attention."
What are signs of illness in birds?,"Birds hide illness until they are critically ill — this is a survival instinct from being prey animals. Any of the following signs require a vet visit within 24 hours or sooner: sitting at the bottom of the cage (serious sign — healthy birds perch), fluffed feathers for extended periods, eyes partially or fully closed during the day, discharge from eyes or nares (nostrils), changes in droppings (color, consistency, volume — learn your bird's normal baseline), reduced vocalization, tail bobbing with each breath (indicates respiratory distress), loss of grip strength, weight loss (weigh weekly with a kitchen scale), regurgitation beyond normal mate-feeding behavior, or bleeding from any site. A lethargic bird that has not eaten or drunk for 12 hours is an emergency. Find an avian-certified veterinarian — general practice vets may not be equipped for avian medicine."
How do I know if my rabbit has GI stasis?,"Gastrointestinal stasis (GI stasis) is the most common veterinary emergency in rabbits and can be fatal within 24–48 hours if untreated. The GI tract slows or stops completely, leading to gas buildup, toxin accumulation, and organ failure. Signs: no droppings or very small, dry, misshapen droppings, complete refusal to eat — even favorite foods, hunched posture with teeth grinding (pain), distended or hard abdomen, complete inactivity, and pressing belly to the ground. Any rabbit that has not produced droppings in 12 hours or has not eaten in 12 hours must be seen by a vet the same day. Do not wait overnight. Treatment includes: gut motility drugs, pain relief, IV or subcutaneous fluids, syringe feeding, and treating the underlying cause (stress, dental pain, dehydration, or low fiber diet). Prevention: unlimited timothy hay is the most important factor in rabbit GI health."
What should I feed my rabbit?,"The foundation of a healthy rabbit diet is unlimited grass hay — timothy hay for adults, alfalfa only for rabbits under 6 months. Hay should make up 80% of the diet and must be available at all times. It is essential for dental health (wears down continuously growing teeth), GI motility, and preventing obesity. Fresh leafy greens (romaine lettuce, cilantro, parsley, basil, kale in moderation) should be offered daily — about 1 cup per 2 lbs of body weight. Pellets should be limited — maximum 1/4 cup per 5 lbs per day of plain timothy-based pellets. Avoid: iceberg lettuce (no nutrition), sugary fruits (only as rare treats), crackers, bread, seeds, and any human food. Fresh water must always be available. Rabbits that do not eat enough hay are at high risk for dental disease and GI stasis."
